"sample","time","biol.rep"
"MURI_7",3,"repeat 1"
"MURI_8",4,"repeat 1"
"MURI_9",5,"repeat 1"
"MURI_10",6,"repeat 1"
"MURI_11",8,"repeat 1"
"MURI_12",24,"repeat 1"
"MURI_13",48,"repeat 1"
"MURI_14",168,"repeat 1"
"MURI_15",336,"repeat 1"
"MURI_16",3,"repeat 2"
"MURI_17",4,"repeat 2"
"MURI_18",5,"repeat 2"
"MURI_19",6,"repeat 2"
"MURI_20",8,"repeat 2"
"MURI_21",24,"repeat 2"
"MURI_22",48,"repeat 2"
"MURI_23",168,"repeat 2"
"MURI_24",336,"repeat 2"
"MURI_25",3,"repeat 3"
"MURI_26",4,"repeat 3"
"MURI_27",5,"repeat 3"
"MURI_28",6,"repeat 3"
"MURI_29",8,"repeat 3"
"MURI_30",24,"repeat 3"
"MURI_31",48,"repeat 3"
"MURI_32",168,"repeat 3"
"MURI_33",336,"repeat 3"
